id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
750033,32,management,single,tertiary,no,0,yes,no,cellular,15,may,166,3,-1,0,unknown
750034,31,management,single,tertiary,no,1177,no,no,cellular,26,may,696,3,-1,0,unknown
750035,46,entrepreneur,married,tertiary,no,5037,yes,no,cellular,20,nov,73,2,198,4,failure
750036,43,management,divorced,tertiary,no,0,no,no,cellular,29,aug,85,2,-1,0,unknown
750037,32,technician,single,secondary,no,667,yes,no,unknown,20,may,8,1,-1,0,unknown
750038,36,services,divorced,secondary,no,584,yes,no,cellular,11,may,151,2,-1,0,unknown
750039,29,blue-collar,married,secondary,no,5,yes,no,unknown,9,may,245,1,-1,0,unknown
750040,37,blue-collar,single,secondary,no,25,no,no,cellular,15,jul,574,3,-1,0,unknown
750041,31,blue-collar,married,secondary,no,-220,yes,no,cellular,20,apr,203,1,346,3,failure
750042,43,services,married,secondary,no,641,yes,no,cellular,14,may,30,6,358,9,other
750043,49,blue-collar,married,primary,no,0,no,no,cellular,12,aug,123,2,-1,0,unknown
750044,46,management,married,tertiary,no,-269,yes,no,cellular,17,apr,544,3,268,3,failure
750045,48,blue-collar,married,secondary,no,1035,yes,no,telephone,8,may,604,5,-1,0,unknown
750046,31,unemployed,married,secondary,no,963,yes,no,unknown,2,jun,168,2,-1,0,unknown
750047,31,management,single,tertiary,no,0,no,no,cellular,27,aug,49,3,-1,0,unknown
750048,69,retired,divorced,secondary,no,4189,no,no,cellular,16,sep,618,1,-1,0,unknown
750049,33,management,divorced,primary,no,3953,yes,no,cellular,20,apr,505,1,-1,0,unknown
750050,34,blue-collar,married,primary,no,649,yes,no,unknown,20,may,161,2,-1,0,unknown
750051,46,management,married,tertiary,no,578,yes,no,unknown,6,jun,157,1,-1,0,unknown
750052,41,housemaid,married,primary,no,1794,no,no,cellular,2,feb,1060,2,-1,0,unknown
750053,30,services,single,secondary,no,687,yes,no,cellular,18,may,199,1,-1,0,unknown
750054,36,management,single,tertiary,no,633,yes,no,cellular,6,feb,84,3,227,2,failure
750055,44,technician,married,secondary,no,-158,yes,no,unknown,26,may,126,8,-1,0,unknown
750056,26,student,single,secondary,no,522,no,no,cellular,4,jun,90,1,-1,0,unknown
750057,35,admin.,divorced,secondary,no,-566,yes,no,unknown,7,may,159,1,-1,0,unknown
750058,34,services,married,secondary,no,-32,yes,no,unknown,8,may,149,2,-1,0,unknown
750059,44,technician,married,secondary,no,691,yes,yes,cellular,28,aug,243,12,-1,0,unknown
750060,37,management,divorced,tertiary,no,223,no,yes,cellular,25,jul,636,2,-1,0,unknown
750061,40,blue-collar,divorced,secondary,no,-333,yes,no,unknown,5,may,183,3,-1,0,unknown
750062,33,technician,married,tertiary,no,940,no,no,cellular,25,aug,82,6,-1,0,unknown
750063,49,admin.,married,primary,no,4459,yes,no,cellular,15,apr,536,2,-1,0,unknown
750064,37,admin.,married,secondary,no,673,yes,no,cellular,30,jul,129,6,-1,0,unknown
750065,32,management,married,tertiary,no,714,yes,yes,unknown,23,may,211,2,-1,0,unknown
750066,36,management,married,tertiary,no,694,yes,no,unknown,3,jun,117,2,-1,0,unknown
750067,37,management,married,tertiary,no,1167,yes,no,cellular,12,aug,182,2,90,2,other
750068,51,unknown,married,unknown,no,0,no,no,cellular,18,aug,90,8,-1,0,unknown
750069,41,blue-collar,married,primary,no,476,yes,no,unknown,13,may,159,1,-1,0,unknown
750070,33,entrepreneur,married,tertiary,no,159,yes,no,cellular,20,nov,128,1,-1,0,unknown
750071,53,technician,married,secondary,no,697,no,no,telephone,13,nov,396,2,92,1,success
750072,55,blue-collar,married,primary,no,0,no,no,unknown,12,jun,144,1,-1,0,unknown
750073,46,technician,married,primary,no,4656,no,no,cellular,21,nov,582,1,-1,0,unknown
750074,44,technician,married,tertiary,no,1818,yes,no,unknown,4,jun,88,6,-1,0,unknown
750075,33,blue-collar,married,primary,no,2,yes,no,cellular,24,jul,121,11,-1,0,unknown
750076,49,services,married,secondary,no,603,yes,yes,cellular,14,may,133,1,-1,0,unknown
750077,32,technician,married,tertiary,no,1802,yes,no,cellular,12,aug,74,2,-1,0,unknown
750078,49,management,married,primary,no,588,yes,no,cellular,29,jan,76,2,169,2,failure
750079,28,services,single,secondary,no,12,yes,no,unknown,7,may,245,1,-1,0,unknown
750080,57,retired,married,primary,no,597,yes,no,cellular,13,may,168,2,350,3,failure
750081,34,technician,married,secondary,no,0,yes,yes,cellular,10,feb,92,1,181,16,success
750082,26,admin.,single,secondary,no,276,yes,no,unknown,27,may,519,1,-1,0,unknown
750083,57,technician,married,secondary,no,3,no,no,cellular,28,aug,109,17,-1,0,unknown
750084,47,entrepreneur,married,tertiary,no,879,yes,no,cellular,23,jul,127,2,-1,0,unknown
750085,44,unemployed,married,tertiary,no,3,yes,no,cellular,20,nov,81,5,-1,0,unknown
750086,56,blue-collar,married,primary,no,-24,yes,no,cellular,7,may,305,1,-1,0,unknown
750087,35,management,single,tertiary,no,59,yes,no,cellular,23,jul,912,2,-1,0,unknown
750088,42,management,married,tertiary,no,4016,yes,no,unknown,5,may,673,2,-1,0,unknown
750089,41,technician,married,tertiary,no,659,no,no,cellular,30,jul,458,3,-1,0,unknown
750090,40,blue-collar,married,primary,no,949,yes,no,unknown,26,may,220,2,-1,0,unknown
750091,49,blue-collar,married,secondary,no,1389,no,no,unknown,16,jun,491,1,-1,0,unknown
750092,33,management,married,secondary,no,-50,yes,no,cellular,15,may,239,2,359,2,failure
750093,49,admin.,married,secondary,no,1731,yes,no,cellular,17,apr,157,1,-1,0,unknown
750094,55,admin.,divorced,secondary,no,2626,no,no,cellular,13,oct,122,2,105,1,success
750095,29,management,single,tertiary,no,2909,no,no,cellular,2,jun,250,1,-1,0,unknown
750096,59,retired,married,unknown,no,1849,yes,no,unknown,5,may,92,2,-1,0,unknown
750097,58,retired,married,secondary,no,0,no,no,cellular,4,aug,136,1,-1,0,unknown
750098,35,technician,married,secondary,no,0,yes,no,cellular,25,jul,141,4,-1,0,unknown
750099,56,unemployed,divorced,secondary,no,722,no,no,unknown,5,jun,92,2,-1,0,unknown
750100,59,management,married,tertiary,no,3165,yes,no,cellular,29,jan,131,1,-1,0,unknown
750101,30,technician,married,secondary,no,931,yes,no,unknown,21,may,692,5,-1,0,unknown
750102,35,technician,single,secondary,no,16,yes,no,unknown,6,jun,85,3,-1,0,unknown
750103,52,technician,divorced,secondary,no,-813,yes,no,unknown,19,jun,153,1,-1,0,unknown
750104,38,technician,married,tertiary,no,-3,no,no,unknown,6,may,140,1,-1,0,unknown
750105,55,management,married,secondary,no,2858,yes,yes,cellular,12,aug,111,4,-1,0,unknown
750106,41,management,divorced,tertiary,no,-478,yes,no,cellular,20,nov,110,4,-1,0,unknown
750107,35,services,married,secondary,no,-196,yes,yes,unknown,26,may,166,1,-1,0,unknown
750108,43,technician,single,tertiary,no,677,no,no,cellular,22,jun,165,2,94,3,success
750109,31,blue-collar,married,secondary,no,1138,yes,yes,unknown,23,may,206,1,-1,0,unknown
750110,57,technician,married,secondary,no,594,yes,no,cellular,2,feb,109,1,-1,0,unknown
750111,30,unemployed,single,secondary,no,1309,no,no,cellular,4,feb,449,2,-1,0,unknown
750112,50,technician,married,secondary,no,2146,yes,no,cellular,14,aug,75,8,-1,0,unknown
750113,47,services,married,secondary,no,0,no,no,unknown,9,jun,57,1,-1,0,unknown
750114,57,management,married,secondary,no,1646,yes,no,cellular,7,may,686,1,-1,0,unknown
750115,46,housemaid,married,primary,no,0,no,no,cellular,27,aug,181,4,-1,0,unknown
750116,47,technician,divorced,secondary,no,4568,no,no,unknown,17,jun,135,4,-1,0,unknown
750117,55,blue-collar,married,primary,no,1802,yes,no,cellular,3,feb,473,1,-1,0,unknown
750118,32,technician,single,tertiary,no,1017,yes,no,unknown,19,jun,61,1,-1,0,unknown
750119,72,retired,married,tertiary,no,0,no,no,telephone,27,oct,195,1,-1,0,unknown
750120,38,entrepreneur,married,tertiary,no,1275,no,no,cellular,19,nov,524,3,-1,0,unknown
750121,47,blue-collar,married,secondary,no,0,no,no,cellular,19,aug,92,4,-1,0,unknown
750122,52,blue-collar,married,secondary,no,830,no,no,cellular,10,jul,462,1,-1,0,unknown
750123,51,blue-collar,married,primary,no,0,yes,no,telephone,31,jul,35,7,-1,0,unknown
750124,29,admin.,single,secondary,no,511,no,no,cellular,29,jan,92,1,-1,0,unknown
750125,31,management,single,tertiary,no,926,no,no,cellular,28,jan,102,2,191,2,other
750126,35,management,single,tertiary,no,0,no,no,cellular,18,aug,72,6,-1,0,unknown
750127,37,admin.,married,secondary,no,751,no,yes,cellular,18,nov,535,1,-1,0,unknown
750128,37,admin.,married,secondary,no,1579,yes,no,unknown,3,jun,119,1,-1,0,unknown
750129,62,retired,divorced,secondary,no,0,no,no,cellular,25,oct,145,1,-1,0,unknown
750130,32,admin.,married,secondary,yes,-435,yes,no,cellular,5,may,393,1,-1,0,unknown
750131,35,admin.,married,secondary,no,3813,no,no,cellular,19,aug,140,11,-1,0,unknown
750132,44,blue-collar,married,secondary,no,0,yes,no,unknown,12,may,77,3,-1,0,unknown
750133,47,blue-collar,married,secondary,no,519,yes,yes,unknown,16,may,119,1,-1,0,unknown
750134,68,management,married,tertiary,no,2820,no,no,cellular,3,jul,107,2,-1,0,unknown
750135,38,blue-collar,single,primary,no,492,yes,no,cellular,8,may,1347,6,367,3,other
750136,30,technician,single,secondary,no,0,no,no,cellular,28,aug,210,6,-1,0,unknown
750137,48,technician,married,secondary,no,5,no,no,cellular,18,aug,71,8,-1,0,unknown
750138,44,management,married,tertiary,no,2661,yes,no,unknown,29,may,302,16,-1,0,unknown
750139,31,technician,single,tertiary,no,703,yes,no,unknown,5,may,122,2,-1,0,unknown
750140,46,entrepreneur,married,tertiary,no,3944,no,yes,unknown,20,jun,73,9,-1,0,unknown
750141,41,retired,married,secondary,no,1734,yes,no,unknown,7,may,128,1,-1,0,unknown
750142,32,student,single,tertiary,no,11494,yes,no,cellular,18,nov,539,1,-1,0,unknown
750143,33,management,married,tertiary,no,1206,yes,yes,cellular,15,may,8,5,-1,0,unknown
750144,27,student,single,secondary,no,611,no,no,telephone,4,may,137,1,-1,0,unknown
750145,40,management,married,tertiary,no,0,no,no,cellular,20,aug,122,3,-1,0,unknown
750146,33,management,married,tertiary,no,2147,no,no,cellular,27,may,130,1,-1,0,unknown
750147,31,services,single,primary,no,5,no,yes,cellular,19,nov,110,4,-1,0,unknown
750148,31,technician,single,secondary,no,674,yes,no,cellular,17,apr,74,1,-1,0,unknown
750149,31,management,single,secondary,no,648,no,no,cellular,24,jul,242,4,-1,0,unknown
750150,60,admin.,married,secondary,no,1085,no,no,cellular,19,aug,116,5,-1,0,unknown
750151,21,student,single,secondary,no,682,no,no,cellular,30,apr,225,1,181,7,success
750152,43,blue-collar,single,secondary,no,3495,yes,yes,cellular,21,nov,102,3,-1,0,unknown
750153,27,services,single,secondary,no,459,no,yes,cellular,5,feb,434,1,-1,0,unknown
750154,32,services,married,secondary,no,1872,yes,no,cellular,16,nov,176,2,95,1,failure
750155,33,management,single,tertiary,no,1637,no,no,cellular,5,jun,467,1,-1,0,unknown
750156,26,blue-collar,single,secondary,no,-8019,yes,yes,unknown,26,may,287,4,-1,0,unknown
750157,29,self-employed,married,secondary,no,4,yes,no,cellular,22,jul,49,2,-1,0,unknown
750158,39,technician,divorced,secondary,no,463,yes,yes,unknown,20,jun,5,5,-1,0,unknown
750159,34,services,single,secondary,no,-94,yes,no,cellular,18,jul,391,1,-1,0,unknown
750160,57,retired,married,primary,no,1480,no,no,cellular,8,jul,149,1,-1,0,unknown
750161,51,blue-collar,married,primary,no,5293,yes,no,telephone,17,nov,67,2,127,2,failure
750162,34,technician,single,secondary,no,2443,yes,yes,unknown,20,may,103,1,-1,0,unknown
750163,41,blue-collar,married,secondary,no,5131,yes,no,unknown,29,may,652,2,-1,0,unknown
750164,32,services,divorced,secondary,no,1293,no,no,cellular,18,nov,485,2,182,1,failure
750165,34,management,married,tertiary,no,576,yes,no,cellular,8,may,144,1,-1,0,unknown
750166,39,blue-collar,single,primary,no,1028,yes,no,cellular,17,apr,474,2,338,1,failure
750167,40,technician,single,unknown,no,-532,yes,no,unknown,7,may,133,3,-1,0,unknown
750168,38,entrepreneur,divorced,secondary,no,386,no,yes,cellular,20,nov,441,2,-1,0,unknown
750169,36,technician,single,tertiary,no,0,no,no,cellular,29,aug,90,3,-1,0,unknown
750170,46,technician,married,secondary,no,3615,yes,no,cellular,5,aug,85,5,-1,0,unknown
750171,68,retired,married,tertiary,no,1341,no,no,cellular,13,nov,616,1,-1,0,unknown
750172,45,management,married,secondary,no,26,no,yes,cellular,24,jul,108,1,-1,0,unknown
750173,49,admin.,single,secondary,no,2957,yes,yes,cellular,19,nov,1011,3,-1,0,unknown
750174,72,retired,married,primary,no,1536,no,no,telephone,16,mar,623,2,-1,0,unknown
750175,47,unknown,married,unknown,no,0,no,no,cellular,5,jun,139,1,-1,0,unknown
750176,29,admin.,married,secondary,no,0,yes,no,unknown,10,jun,56,1,-1,0,unknown
750177,45,self-employed,married,secondary,no,509,no,no,unknown,9,jun,489,1,-1,0,unknown
750178,35,retired,married,tertiary,no,694,no,no,unknown,9,jun,67,2,-1,0,unknown
750179,49,management,married,tertiary,no,5887,yes,no,cellular,2,jun,252,3,-1,0,unknown
750180,29,management,single,secondary,no,572,no,no,cellular,2,feb,924,1,-1,0,unknown
750181,27,services,single,secondary,no,-230,yes,no,cellular,21,jul,246,1,-1,0,unknown
750182,28,management,married,tertiary,no,7,yes,no,cellular,8,jul,130,1,-1,0,unknown
750183,54,technician,divorced,tertiary,no,705,yes,no,cellular,2,feb,110,1,245,2,failure
750184,55,technician,married,secondary,no,676,yes,yes,cellular,19,nov,77,1,-1,0,unknown
750185,44,management,single,tertiary,no,3649,yes,no,unknown,2,jun,109,2,-1,0,unknown
750186,31,self-employed,married,tertiary,no,2666,yes,no,cellular,14,jul,467,1,-1,0,unknown
750187,52,services,married,secondary,no,-32,yes,no,cellular,9,jul,151,1,-1,0,unknown
750188,34,admin.,married,secondary,no,1661,yes,no,cellular,29,jul,50,4,-1,0,unknown
750189,37,management,married,tertiary,no,0,yes,no,cellular,17,nov,117,3,-1,0,unknown
750190,30,self-employed,married,tertiary,no,35,no,no,cellular,20,apr,467,1,-1,0,unknown
750191,30,technician,single,secondary,no,-542,no,no,cellular,8,jul,91,2,-1,0,unknown
750192,32,blue-collar,married,secondary,no,-667,yes,no,cellular,18,may,116,7,349,2,failure
750193,31,management,single,tertiary,no,1320,yes,no,cellular,19,aug,98,2,-1,0,unknown
750194,47,blue-collar,married,primary,no,706,no,no,cellular,20,aug,157,4,-1,0,unknown
750195,47,services,married,secondary,no,0,no,no,unknown,5,may,124,1,-1,0,unknown
750196,73,retired,married,secondary,no,9160,no,no,telephone,13,oct,676,3,183,11,success
750197,34,admin.,single,secondary,no,711,yes,no,cellular,15,may,121,3,-1,0,unknown
750198,55,management,married,tertiary,yes,43,no,no,cellular,28,aug,484,21,-1,0,unknown
750199,51,management,divorced,tertiary,no,10171,no,no,cellular,18,mar,104,3,-1,0,unknown
750200,28,admin.,single,secondary,no,597,yes,no,cellular,5,may,159,1,-1,0,unknown
750201,39,admin.,married,secondary,no,0,no,no,unknown,21,may,111,2,-1,0,unknown
750202,33,management,single,tertiary,no,0,no,no,cellular,2,feb,110,1,-1,0,unknown
750203,34,management,married,tertiary,no,6563,no,no,cellular,12,aug,113,4,-1,0,unknown
750204,31,services,married,secondary,no,2686,yes,yes,cellular,24,jul,1462,2,-1,0,unknown
750205,34,blue-collar,married,secondary,no,43,yes,no,unknown,2,jun,97,2,-1,0,unknown
750206,43,technician,divorced,secondary,no,692,no,no,unknown,13,may,133,1,-1,0,unknown
750207,50,admin.,married,secondary,no,-2,no,no,unknown,5,may,114,1,-1,0,unknown
750208,55,services,married,primary,no,2225,yes,no,unknown,30,may,65,2,-1,0,unknown
750209,35,admin.,single,secondary,no,2144,yes,no,unknown,29,may,146,1,-1,0,unknown
750210,32,blue-collar,married,unknown,no,0,yes,no,cellular,10,jul,100,1,-1,0,unknown
750211,32,management,married,tertiary,no,0,no,no,cellular,18,aug,80,4,-1,0,unknown
750212,35,admin.,single,primary,no,764,yes,yes,unknown,13,may,125,1,-1,0,unknown
750213,34,unemployed,divorced,secondary,no,3837,yes,no,cellular,20,nov,71,1,-1,0,unknown
750214,59,retired,married,secondary,no,0,no,no,cellular,12,aug,64,2,-1,0,unknown
750215,45,blue-collar,married,secondary,no,13,no,no,telephone,5,jun,121,1,-1,0,unknown
750216,43,blue-collar,single,primary,no,548,yes,no,unknown,8,may,154,3,-1,0,unknown
750217,26,blue-collar,single,secondary,no,-8019,yes,yes,cellular,31,jul,10,28,-1,0,unknown
750218,49,management,married,tertiary,no,2126,no,no,cellular,7,aug,123,1,-1,0,unknown
750219,58,management,married,tertiary,no,256,no,no,cellular,18,dec,638,3,188,4,success
750220,28,student,single,secondary,no,3773,no,no,cellular,30,jun,267,1,-1,0,unknown
750221,51,entrepreneur,married,secondary,no,0,no,no,cellular,12,aug,122,2,-1,0,unknown
750222,59,housemaid,married,secondary,no,0,no,no,unknown,19,jun,133,1,-1,0,unknown
750223,34,management,married,tertiary,no,631,yes,no,cellular,22,jul,1407,2,-1,0,unknown
750224,38,technician,married,tertiary,no,1455,yes,no,unknown,21,may,280,1,-1,0,unknown
750225,25,services,single,secondary,no,1,no,no,cellular,14,may,80,2,-1,0,unknown
750226,35,management,single,tertiary,no,994,no,no,cellular,14,aug,105,2,-1,0,unknown
750227,57,services,married,primary,no,-79,yes,yes,telephone,14,may,8,6,-1,0,unknown
750228,33,management,single,tertiary,no,0,yes,no,cellular,18,nov,199,1,-1,0,unknown
750229,35,technician,married,secondary,no,351,yes,no,cellular,11,jul,918,2,-1,0,unknown
750230,36,management,married,tertiary,no,7003,no,no,telephone,14,nov,592,2,-1,0,unknown
750231,44,blue-collar,married,secondary,no,20,yes,no,cellular,20,apr,544,3,154,7,failure
750232,32,blue-collar,single,secondary,no,-177,yes,no,cellular,6,may,87,1,345,8,other
750233,32,admin.,single,secondary,no,-32,no,yes,cellular,8,jul,129,1,-1,0,unknown
750234,23,student,single,secondary,no,1686,no,no,cellular,9,sep,143,2,-1,0,unknown
750235,41,technician,single,secondary,no,524,yes,no,cellular,17,jul,545,1,-1,0,unknown
750236,41,self-employed,married,secondary,no,942,yes,no,cellular,18,aug,91,2,-1,0,unknown
750237,47,entrepreneur,married,tertiary,no,862,no,no,cellular,21,jul,1052,4,-1,0,unknown
750238,52,admin.,married,secondary,no,1849,no,no,cellular,26,aug,478,5,-1,0,unknown
750239,39,management,single,tertiary,no,3679,no,no,cellular,10,nov,667,1,-1,0,unknown
750240,70,retired,married,secondary,no,0,no,no,cellular,22,oct,512,1,148,1,failure
750241,59,retired,single,secondary,no,518,yes,no,unknown,13,may,918,1,-1,0,unknown
750242,38,unemployed,single,secondary,no,0,no,no,cellular,22,aug,108,2,-1,0,unknown
750243,47,management,married,primary,no,5735,yes,no,unknown,29,may,108,2,-1,0,unknown
750244,43,technician,married,secondary,no,9,yes,no,cellular,5,feb,170,1,-1,0,unknown
750245,32,blue-collar,married,secondary,no,1230,yes,no,cellular,5,feb,76,2,253,1,success
750246,30,admin.,single,secondary,no,636,no,no,cellular,23,jul,125,5,-1,0,unknown
750247,32,technician,single,secondary,no,362,no,no,cellular,20,nov,106,1,-1,0,unknown
750248,54,unemployed,married,secondary,no,9962,no,no,cellular,3,feb,489,3,-1,0,unknown
750249,46,blue-collar,married,secondary,no,4143,yes,yes,cellular,18,nov,738,2,-1,0,unknown
750250,47,blue-collar,married,primary,no,643,yes,no,unknown,13,may,81,1,-1,0,unknown
750251,34,technician,single,secondary,no,27,yes,yes,cellular,13,aug,588,2,-1,0,unknown
750252,24,student,single,secondary,no,2354,no,no,cellular,14,aug,170,2,-1,0,unknown
750253,53,blue-collar,married,secondary,no,596,yes,no,cellular,19,nov,689,2,-1,0,unknown
750254,33,blue-collar,married,secondary,no,50,yes,no,cellular,6,may,211,2,-1,0,unknown
750255,56,blue-collar,married,primary,no,6791,yes,no,unknown,3,jun,122,1,-1,0,unknown
750256,48,management,married,tertiary,no,538,no,no,cellular,4,may,212,1,90,5,success
750257,38,management,married,tertiary,no,871,yes,no,cellular,10,jul,124,1,-1,0,unknown
750258,47,blue-collar,married,primary,no,827,yes,no,unknown,15,may,109,1,-1,0,unknown
750259,39,services,single,secondary,no,1555,no,no,unknown,17,jun,1005,2,-1,0,unknown
750260,35,housemaid,married,secondary,no,673,no,yes,cellular,19,nov,596,2,-1,0,unknown
750261,69,retired,married,secondary,no,1151,no,no,cellular,17,apr,94,1,-1,0,unknown
750262,31,technician,married,secondary,no,-6,no,no,cellular,18,nov,89,3,-1,0,unknown
750263,34,management,married,tertiary,no,3,no,no,cellular,12,aug,67,4,-1,0,unknown
750264,50,technician,divorced,secondary,no,-133,no,no,cellular,28,jul,97,2,-1,0,unknown
750265,55,technician,married,secondary,no,0,no,no,cellular,11,aug,124,2,-1,0,unknown
750266,46,blue-collar,divorced,secondary,no,3350,yes,no,cellular,1,apr,135,2,133,3,failure
750267,43,technician,married,secondary,no,1377,yes,no,unknown,14,may,104,1,-1,0,unknown
750268,49,technician,married,tertiary,no,4388,yes,no,cellular,5,aug,256,2,-1,0,unknown
750269,39,blue-collar,married,secondary,no,523,yes,no,unknown,23,may,231,2,-1,0,unknown
750270,37,management,single,tertiary,no,1519,no,no,unknown,24,jun,88,2,-1,0,unknown
750271,48,blue-collar,married,secondary,no,6,no,no,unknown,18,jun,64,1,-1,0,unknown
750272,37,blue-collar,married,secondary,no,718,yes,no,unknown,6,jun,562,2,-1,0,unknown
750273,33,services,married,secondary,no,1629,yes,no,cellular,25,jul,72,2,-1,0,unknown
750274,40,technician,single,tertiary,no,546,no,no,unknown,18,jun,8,5,-1,0,unknown
750275,45,blue-collar,married,primary,no,889,yes,no,cellular,19,aug,91,1,-1,0,unknown
750276,31,management,single,tertiary,no,822,yes,no,unknown,19,may,107,1,-1,0,unknown
750277,71,retired,married,primary,no,1388,no,no,cellular,26,oct,78,1,-1,0,unknown
750278,32,management,married,tertiary,no,810,no,no,cellular,13,aug,1013,2,-1,0,unknown
750279,35,technician,married,secondary,no,943,yes,no,unknown,6,may,140,2,-1,0,unknown
750280,31,technician,single,tertiary,no,30,no,no,cellular,13,aug,101,2,-1,0,unknown
750281,65,admin.,married,secondary,no,11240,yes,no,telephone,21,nov,189,1,-1,0,unknown
750282,55,services,divorced,secondary,no,985,yes,no,cellular,10,feb,102,2,-1,0,unknown
750283,71,retired,married,secondary,no,934,no,no,cellular,12,jan,396,2,-1,0,unknown
750284,52,services,married,unknown,no,17,no,no,cellular,4,aug,86,1,-1,0,unknown
750285,57,retired,married,secondary,no,557,no,no,unknown,17,jun,447,1,-1,0,unknown
750286,59,entrepreneur,married,tertiary,no,1391,yes,no,cellular,18,jul,57,3,-1,0,unknown
750287,46,housemaid,married,tertiary,no,2651,yes,no,cellular,4,jun,495,3,-1,0,unknown
750288,37,blue-collar,married,secondary,no,2115,yes,yes,unknown,21,may,111,1,-1,0,unknown
750289,33,management,single,tertiary,no,917,yes,no,unknown,21,may,185,1,-1,0,unknown
750290,31,services,single,secondary,no,0,yes,no,cellular,8,may,53,5,-1,0,unknown
750291,33,management,married,tertiary,no,4,no,no,cellular,11,aug,117,2,-1,0,unknown
750292,44,management,married,primary,no,464,no,no,unknown,30,may,123,2,-1,0,unknown
750293,31,management,single,tertiary,no,776,no,no,cellular,9,feb,108,2,-1,0,unknown
750294,37,admin.,married,secondary,no,1303,yes,no,cellular,29,jul,93,3,-1,0,unknown
750295,34,technician,married,secondary,no,0,yes,no,cellular,7,jul,123,3,-1,0,unknown
750296,41,technician,married,secondary,no,664,yes,no,telephone,18,nov,51,1,-1,0,unknown
750297,45,management,married,tertiary,no,2240,no,no,cellular,14,aug,1241,2,-1,0,unknown
750298,61,management,married,tertiary,no,1373,yes,no,cellular,28,jan,317,1,-1,0,unknown
750299,41,technician,divorced,secondary,no,-396,yes,no,cellular,18,nov,115,2,-1,0,unknown
750300,31,blue-collar,married,secondary,no,568,yes,no,unknown,21,may,147,2,-1,0,unknown
750301,43,services,married,tertiary,no,0,no,no,unknown,17,jun,48,1,-1,0,unknown
750302,66,retired,married,secondary,no,14,no,no,telephone,8,jul,152,1,-1,0,unknown
750303,49,services,married,secondary,no,1230,no,yes,telephone,4,feb,543,1,-1,0,unknown
750304,31,management,married,tertiary,no,1770,no,no,cellular,18,aug,121,6,-1,0,unknown
